id,name,product_type,description,monthly_sales
6221,Full HD Webcam Premium,Electronics,1080p webcam for video conferencing. Premium model – batch 218.,227
6222,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 219.,273
6223,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 220.,307
6224,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 221.,409
6225,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 222.,421
6226,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 223.,481
6227,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 224.,472
6228,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 225.,202
6229,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 226.,181
6230,USB Flash Drive 64GB Premium,Electronics,USB 3.0 flash drive with 64GB capacity. Premium model – batch 227.,51
6231,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 228.,443
6232,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 229.,164
6233,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 230.,376
6234,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 231.,253
6235,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 232.,31
6236,Multifunction Printer Plus,Electronics,Printer with scanner and copier. Plus model – batch 233.,188
6237,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 234.,492
6238,External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 235.,42
6239,Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 236.,450
6240,Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 237.,289
6241,24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 238.,98
6242,External Hard Drive 1TB Advanced,Electronics,Portable 1TB external storage. Advanced model – batch 239.,35
6243,Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 240.,103
6244,Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 241.,477
6245,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 242.,439
6246,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 243.,330
6247,Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 244.,321
6248,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 245.,116
6249,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 246.,78
6250,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 247.,396
6251,Blue Pen Compact,Stationery,Blue ballpoint pen. Compact model – batch 248.,398
6252,Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 249.,491
6253,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 250.,308
6254,Django Book Premium,Book,Web development with Django. Premium model – batch 251.,294
6255,Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 252.,404
6256,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 253.,257
6257,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 254.,70
6258,ATX Power Supply 600W Standard,Electronics,600W certified power supply. Standard model – batch 255.,292
6259,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 256.,380
6260,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 257.,132
6261,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 258.,191
6262,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 259.,365
6263,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 260.,459
6264,Django Book Advanced,Book,Web development with Django. Advanced model – batch 261.,152
6265,University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 262.,413
6266,Mechanical Keyboard Wireless,Electronics,Mechanical keyboard with blue switches. Wireless model – batch 263.,444
6267,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 264.,329
6268,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 265.,118
6269,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 266.,118
6270,HDMI Cable Advanced,Accessories,High-speed HDMI 2.0 cable. Advanced model – batch 267.,59
6271,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 268.,202
6272,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 269.,70
6273,Multifunction Printer Premium,Electronics,Printer with scanner and copier. Premium model – batch 270.,217
6274,Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 271.,319
6275,University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 272.,24
6276,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 273.,384
6277,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 274.,488
6278,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 275.,215
6279,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 276.,484
6280,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 277.,93
6281,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 278.,186
6282,Multifunction Printer USB-C,Electronics,Printer with scanner and copier. USB-C model – batch 279.,38
6283,External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 280.,351
6284,Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 281.,274
6285,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 282.,310
6286,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 283.,358
6287,HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 284.,75
6288,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 285.,7
6289,Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 286.,221
6290,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 287.,430
6291,University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 288.,31
6292,Django Book Standard,Book,Web development with Django. Standard model – batch 289.,480
6293,Django Book Compact,Book,Web development with Django. Compact model – batch 290.,129
6294,Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 291.,163
6295,Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 292.,187
6296,Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 293.,275
6297,Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 294.,500
6298,Gaming Mousepad Pro,Accessories,Large mousepad with non-slip base. Pro model – batch 295.,323
6299,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 296.,438
6300,Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 297.,7
6301,Django Book Advanced,Book,Web development with Django. Advanced model – batch 298.,38
6302,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 299.,209
6303,Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 300.,279
6304,External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 301.,393
6305,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 302.,384
6306,Django Book Compact,Book,Web development with Django. Compact model – batch 303.,166
6307,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 304.,227
6308,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 305.,131
6309,ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 306.,220
6310,USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 307.,265
6311,Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 308.,497
6312,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 309.,360
6313,Django Book Compact,Book,Web development with Django. Compact model – batch 310.,322
6314,External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 311.,439
6315,Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 312.,391
6316,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 313.,497
6317,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 314.,417
6318,Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 315.,421
6319,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 316.,324
6320,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 317.,180
6321,USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 318.,302
6322,USB Mouse Pro,Electronics,Wired USB mouse with high precision. Pro model – batch 319.,408
6323,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 320.,149
6324,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 321.,221
6325,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 322.,188
6326,Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 323.,257
6327,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 324.,434
6328,Algorithms Book Wireless,Book,Introduction to algorithms and programming logic. Wireless model – batch 325.,448
6329,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 326.,428
6330,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 327.,416
6331,ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 328.,407
6332,Blue Pen Compact,Stationery,Blue ballpoint pen. Compact model – batch 329.,169
6333,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 330.,490
6334,Django Book Wireless,Book,Web development with Django. Wireless model – batch 331.,209
6335,Django Book Standard,Book,Web development with Django. Standard model – batch 332.,250
6336,24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 333.,360
6337,Python Book Wireless,Book,Learn Python from beginner to advanced. Wireless model – batch 334.,279
6338,Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 335.,34
6339,External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 336.,404
6340,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 337.,128
6341,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 338.,478
6342,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 339.,345
6343,ATX Power Supply 600W Pro,Electronics,600W certified power supply. Pro model – batch 340.,308
6344,Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 341.,214
6345,Full HD Webcam USB-C,Electronics,1080p webcam for video conferencing. USB-C model – batch 342.,336
6346,Bluetooth Headphones Advanced,Electronics,Wireless headphones with noise cancellation. Advanced model – batch 343.,472
6347,Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 344.,302
6348,HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 345.,373
6349,Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 346.,472
6350,USB Flash Drive 64GB Wireless,Electronics,USB 3.0 flash drive with 64GB capacity. Wireless model – batch 347.,272
6351,Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 348.,474
6352,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 349.,123
6353,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 350.,204
6354,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 351.,229
6355,Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 352.,335
6356,Multifunction Printer Compact,Electronics,Printer with scanner and copier. Compact model – batch 353.,63
6357,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 354.,282
6358,External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 355.,411
6359,HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 356.,36
6360,Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 357.,356
6361,ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 358.,472
6362,External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 359.,449
6363,Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 360.,246
6364,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 361.,259
6365,Algorithms Book Compact,Book,Introduction to algorithms and programming logic. Compact model – batch 362.,327
6366,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 363.,382
6367,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 364.,419
6368,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 365.,100
6369,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 366.,193
6370,Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 367.,68
6371,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 368.,219
6372,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 369.,11
6373,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 370.,36
6374,USB Flash Drive 64GB Wireless,Electronics,USB 3.0 flash drive with 64GB capacity. Wireless model – batch 371.,316
6375,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 372.,301
6376,Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 373.,110
6377,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 374.,143
6378,Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 375.,94
6379,Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 376.,134
6380,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 377.,197
6381,Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 378.,143
6382,Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 379.,299
6383,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 380.,311
6384,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 381.,299
6385,24 Inch Monitor Plus,Electronics,Full HD monitor for work and gaming. Plus model – batch 382.,428
6386,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 383.,363
6387,Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 384.,24
6388,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 385.,382
6389,ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 386.,131
6390,Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 387.,400
6391,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 388.,168
6392,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 389.,193
6393,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 390.,462
6394,USB Mouse USB-C,Electronics,Wired USB mouse with high precision. USB-C model – batch 391.,180
6395,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 392.,99
6396,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 393.,444
6397,Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 394.,195
6398,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 395.,476
6399,External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 396.,414
6400,Python Book Standard,Book,Learn Python from beginner to advanced. Standard model – batch 397.,363
6401,Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 398.,148
6402,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 399.,181
6403,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 400.,210
6404,HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 401.,390
6405,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 402.,14
6406,Gaming Mousepad USB-C,Accessories,Large mousepad with non-slip base. USB-C model – batch 403.,8
6407,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 404.,475
6408,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 405.,182
6409,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 406.,363
6410,Bluetooth Headphones Premium,Electronics,Wireless headphones with noise cancellation. Premium model – batch 407.,412
6411,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 408.,345
6412,USB Flash Drive 64GB USB-C,Electronics,USB 3.0 flash drive with 64GB capacity. USB-C model – batch 409.,210
6413,Gaming Mousepad Compact,Accessories,Large mousepad with non-slip base. Compact model – batch 410.,314
6414,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 411.,21
6415,Bluetooth Headphones Advanced,Electronics,Wireless headphones with noise cancellation. Advanced model – batch 412.,190
6416,Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 413.,478
6417,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 414.,5
6418,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 415.,94
6419,Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 416.,346
6420,24 Inch Monitor Pro,Electronics,Full HD monitor for work and gaming. Pro model – batch 417.,353
6421,Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 418.,15
6422,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 419.,434
6423,Multifunction Printer USB-C,Electronics,Printer with scanner and copier. USB-C model – batch 420.,250
6424,HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 421.,150
6425,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 422.,171
6426,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 423.,193
6427,Multifunction Printer Compact,Electronics,Printer with scanner and copier. Compact model – batch 424.,64
6428,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 425.,268
6429,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 426.,54
6430,Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 427.,414
6431,University Notebook Standard,Stationery,Notebook with 200 pages. Standard model – batch 428.,45
6432,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 429.,474
6433,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 430.,399
6434,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 431.,265
6435,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 432.,296
6436,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 433.,130
6437,USB Mouse USB-C,Electronics,Wired USB mouse with high precision. USB-C model – batch 434.,482
6438,Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 435.,204
6439,USB Mouse Compact,Electronics,Wired USB mouse with high precision. Compact model – batch 436.,152
6440,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 437.,337
6441,Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 438.,483
6442,Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 439.,341
6443,USB Flash Drive 64GB Premium,Electronics,USB 3.0 flash drive with 64GB capacity. Premium model – batch 440.,215
6444,Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 441.,433
6445,Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 442.,177
6446,ATX Power Supply 600W Standard,Electronics,600W certified power supply. Standard model – batch 443.,104
6447,HDMI Cable Advanced,Accessories,High-speed HDMI 2.0 cable. Advanced model – batch 444.,494
6448,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 445.,191
6449,External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 446.,102
6450,Python Book Wireless,Book,Learn Python from beginner to advanced. Wireless model – batch 447.,469
6451,Laptop Stand Wireless,Accessories,Adjustable ergonomic laptop stand. Wireless model – batch 448.,261
6452,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 449.,431
6453,Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 450.,146
6454,Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 451.,47
6455,University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 452.,420
6456,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 453.,348
6457,Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 454.,121
6458,Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 455.,308
6459,Django Book Pro,Book,Web development with Django. Pro model – batch 456.,443
6460,Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 457.,27
6461,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 458.,258
6462,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 459.,229
6463,Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 460.,43
6464,Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 461.,172
6465,Full HD Webcam USB-C,Electronics,1080p webcam for video conferencing. USB-C model – batch 462.,218
6466,Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 463.,353
6467,Django Book Advanced,Book,Web development with Django. Advanced model – batch 464.,175
6468,24 Inch Monitor Pro,Electronics,Full HD monitor for work and gaming. Pro model – batch 465.,470
6469,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 466.,115
6470,USB Mouse Compact,Electronics,Wired USB mouse with high precision. Compact model – batch 467.,149
6471,Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 468.,478
6472,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 469.,415
6473,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 470.,36
6474,Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 471.,168
6475,Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 472.,340
6476,Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 473.,184
6477,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 474.,99
6478,Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 475.,351
6479,Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 476.,53
6480,USB Flash Drive 64GB Premium,Electronics,USB 3.0 flash drive with 64GB capacity. Premium model – batch 477.,5
6481,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 478.,132
6482,Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 479.,373
6483,Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 480.,406
6484,Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 481.,326
6485,Django Book Wireless,Book,Web development with Django. Wireless model – batch 482.,434
6486,Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 483.,184
6487,USB Flash Drive 64GB Pro,Electronics,USB 3.0 flash drive with 64GB capacity. Pro model – batch 484.,309
6488,University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 485.,482
6489,Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 486.,38
6490,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 487.,171
6491,Django Book USB-C,Book,Web development with Django. USB-C model – batch 488.,187
6492,External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 489.,33
6493,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 490.,487
6494,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 491.,236
6495,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 492.,81
6496,Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 493.,287
6497,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 494.,315
6498,Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 495.,116
6499,HDMI Cable Premium,Accessories,High-speed HDMI 2.0 cable. Premium model – batch 496.,102
6500,ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 497.,160
6501,External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 498.,189
6502,Gaming Mousepad Compact,Accessories,Large mousepad with non-slip base. Compact model – batch 499.,344
6503,External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 500.,261
6504,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 501.,86
6505,Full HD Webcam USB-C,Electronics,1080p webcam for video conferencing. USB-C model – batch 502.,476
6506,USB Flash Drive 64GB Premium,Electronics,USB 3.0 flash drive with 64GB capacity. Premium model – batch 503.,243
6507,Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 504.,417
6508,HDMI Cable Premium,Accessories,High-speed HDMI 2.0 cable. Premium model – batch 505.,205
6509,Django Book Pro,Book,Web development with Django. Pro model – batch 506.,408
6510,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 507.,282
6511,External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 508.,192
6512,USB Flash Drive 64GB Standard,Electronics,USB 3.0 flash drive with 64GB capacity. Standard model – batch 509.,141
6513,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 510.,79
6514,University Notebook Advanced,Stationery,Notebook with 200 pages. Advanced model – batch 511.,367
6515,USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 512.,456
6516,USB Flash Drive 64GB Wireless,Electronics,USB 3.0 flash drive with 64GB capacity. Wireless model – batch 513.,354
6517,Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 514.,149
6518,Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 515.,23
