name,product_type,description,monthly_sales
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 961.,125
Mechanical Keyboard Wireless,Electronics,Mechanical keyboard with blue switches. Wireless model – batch 962.,442
Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 963.,316
Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 964.,407
University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 965.,470
Multifunction Printer Premium,Electronics,Printer with scanner and copier. Premium model – batch 966.,101
Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 967.,118
USB Flash Drive 64GB USB-C,Electronics,USB 3.0 flash drive with 64GB capacity. USB-C model – batch 968.,89
Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 969.,451
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 970.,188
Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 971.,366
Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 972.,37
Multifunction Printer USB-C,Electronics,Printer with scanner and copier. USB-C model – batch 973.,138
Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 974.,192
Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 975.,182
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 976.,160
Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 977.,27
USB Flash Drive 64GB Standard,Electronics,USB 3.0 flash drive with 64GB capacity. Standard model – batch 978.,281
Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 979.,22
Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 980.,282
Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 981.,61
Full HD Webcam Compact,Electronics,1080p webcam for video conferencing. Compact model – batch 982.,362
Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 983.,294
Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 984.,275
Bluetooth Headphones USB-C,Electronics,Wireless headphones with noise cancellation. USB-C model – batch 985.,439
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 986.,343
USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 987.,225
Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 988.,215
Clean Code Book Standard,Book,Best practices for clean and maintainable code. Standard model – batch 989.,47
Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 990.,270
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 991.,401
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 992.,388
Full HD Webcam Premium,Electronics,1080p webcam for video conferencing. Premium model – batch 993.,187
Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 994.,113
Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 995.,471
Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 996.,403
Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 997.,424
Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 998.,308
Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 999.,384
24 Inch Monitor Advanced,Electronics,Full HD monitor for work and gaming. Advanced model – batch 1000.,348
